CRN;Course;Session;Title;Instructor;Time/Location;Credits
24531;BIOC 402 007;Full Term;UNDERGRADUATE HONORS RESEARCH;Braam, Janet;TBA TBANo Final Exam;5
24532;BIOC 402 008;Full Term;UNDERGRADUATE HONORS RESEARCH;Carson, Daniel D.;TBA TBANo Final Exam;5
24533;BIOC 402 009;Full Term;UNDERGRADUATE HONORS RESEARCH;Chehab, El-Amir W.;TBA TBANo Final Exam;5
24262;BIOC 402 010;Full Term;UNDERGRADUATE HONORS RESEARCH;Papadopoulos, Pamela C.;TBA TBANo Final Exam;5
24534;BIOC 402 012;Full Term;UNDERGRADUATE HONORS RESEARCH;Gustin, Michael;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;5
24535;BIOC 402 014;Full Term;UNDERGRADUATE HONORS RESEARCH;Chappell, James E.;TBA TBANo Final Exam;5
24536;BIOC 402 015;Full Term;UNDERGRADUATE HONORS RESEARCH;Levine, Herbert;TBA TBANo Final Exam;5
24537;BIOC 402 016;Full Term;UNDERGRADUATE HONORS RESEARCH;Lwigale, Peter Y.;TBA TBANo Final Exam;5
24538;BIOC 402 017;Full Term;UNDERGRADUATE HONORS RESEARCH;Matsuda, Seiichi P.;TBA TBANo Final Exam;5
24539;BIOC 402 018;Full Term;UNDERGRADUATE HONORS RESEARCH;Matthews, Kathleen S.;TBA TBANo Final Exam;5
24540;BIOC 402 019;Full Term;UNDERGRADUATE HONORS RESEARCH;McNew, James A.;TBA TBANo Final Exam;5
24541;BIOC 402 020;Full Term;UNDERGRADUATE HONORS RESEARCH;Nakhleh, Luay;TBA TBANo Final Exam;5
21332;BIOC 402 021;Full Term;UNDERGRADUATE HONORS RESEARCH;Nikonowicz, Edward P.;TBA TBANo Final Exam;5
24542;BIOC 402 023;Full Term;UNDERGRADUATE HONORS RESEARCH;Onuchic, Jose;TBA TBANo Final Exam;5
24543;BIOC 402 025;Full Term;UNDERGRADUATE HONORS RESEARCH;Phillips, George N.;TBA TBANo Final Exam;5
24544;BIOC 402 026;Full Term;UNDERGRADUATE HONORS RESEARCH;Segatori, Laura;TBA TBANo Final Exam;5
21333;BIOC 402 027;Full Term;UNDERGRADUATE HONORS RESEARCH;Shamoo, Yousif;TBA TBANo Final Exam;5
24257;BIOC 402 028;Full Term;UNDERGRADUATE HONORS RESEARCH;Silberg, Jonathan J.;TBA TBANo Final Exam;5
24545;BIOC 402 029;Full Term;UNDERGRADUATE HONORS RESEARCH;Stern, Michael;TBA TBANo Final Exam;5
24547;BIOC 402 031;Full Term;UNDERGRADUATE HONORS RESEARCH;Tao, Yizhi J.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;5
21334;BIOC 402 032;Full Term;UNDERGRADUATE HONORS RESEARCH;Wagner, Daniel S.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;5
24548;BIOC 402 033;Full Term;UNDERGRADUATE HONORS RESEARCH;Uribe, Rosa A.;TBA TBANo Final Exam;5
